SPINNAKER_APPLICATION_NAME,APP_SHORT_NAME_UPPERCASE,APP_CHART_NAME_PARAMETER,ENV_LABEL_PARAMETER,PRE_UPGRADE_TESTING_PIPELINE_ID,POST_UPGRADE_TESTING_PIPELINE_ID,PATH_TO_SITE_VALUES_FILE_PARAMETER,PATH_TO_SITE_VALUES_OVERRIDE_FILE_PARAMETER,TAGS_PARAMETERS,HELM_TIMEOUT_PARAMETER,APP_CHART_GERRIT_PROJECT_PARAMETER,SKIP_PRE_TESTING_PARAMETER,TEST_OPENSHIFT_PARAMETER,APPLICATION_STAGING_BASELINE_PIPELINE_ID,DEPLOYMENT_VERIFICATION_PIPELINE_ID
adc-e2e-cicd,ADC,eric-oss-adc,adc-staging,0d324de7-1a72-4b16-b9aa-21b860d30743,e9793830-10b4-452b-8b8c-f275951ed599,site-values/idun/ci/template/site-values-latest.yaml,site-values/idun/ci/override/override-site-values-appstaging-tls-enabled_SEF.yaml,adc dmm sef,1800,OSS/com.ericsson.oss.dmi/eric-oss-adc,true,true,5f583206-c6d9-46ca-b967-da128fd0d9c4,fdaffb17-8c6b-41a5-81f4-eb7c05ea59ed
eas-e2e-cicd,EAS,eric-oss-ericsson-adaptation,eas-staging,ba0e75c9-3d9a-4102-bb5c-3caad86e5e7c,44c61057-0f4e-483a-8935-f5d777f363d3,site-values/idun/ci/template/site-values-latest.yaml,site-values/idun/ci/override/override-site-values-appstaging-tls-enabled_SEF_minimalDMM.yaml,eas ch th dmm sef tieh,1800,OSS/com.ericsson.oss.tic/eric-oss-ericsson-adaptation,true,false,e10893df-7000-41f3-af41-8967337afcba,6118f567-9647-4ea3-9c7e-0034292fb82d
dmm-e2e-cicd,DMM,eric-oss-dmm,dmm-staging,13687b6f-b124-4e6d-8328-9b6a196ea09f,334f14c4-fb78-41fb-ab07-db7f2e7ac7c0,site-values/idun/ci/template/site-values-latest.yaml,site-values/idun/ci/override/override-site-values-appstaging-tls-enabled_SEF.yaml,dmm sef,1800,OSS/com.ericsson.oss.dmi/eric-oss-dmm,true,true,684bc696-7598-45d9-b975-bfa6b618a631,f12967d5-390d-40ff-b1a2-8da8744315b7
topology-handling-e2e-cicd,TH,eric-topology-handling,th-staging,2458f9d4-83ac-4064-b655-6855ed67cea8,40b242a7-dbdd-4415-8695-edb75f1187a7,site-values/idun/ci/template/site-values-latest.yaml,site-values/idun/ci/override/override-site-values-appstaging-tls-enabled_SEF.yaml,th sef,1800,OSS/com.ericsson.oss.common.topology/topology-handling,true,false,fe5ca561-63cd-430d-9050-a8376827592c,5a67d14b-2546-4288-af27-0eb09b1ce539
app-mgr-e2e-cicd,APPMGR,eric-oss-app-mgr,appmgr-staging,13275f2e-1c94-4fc0-b36c-47ef80f4d9c6,0d35adf4-626e-4012-bce8-2c2debcb553b,site-values/idun/ci/template/site-values-latest.yaml,site-values/idun/ci/override/override-site-values-appstaging-tls-enabled_SEF_minimalDMM.yaml,appmgr dmm sef,1800,OSS/com.ericsson.oss.ae/eric-oss-app-mgr,true,true,3e52c10f-e245-480f-a2b7-7b766c01ffa4,6e149521-5bd3-4681-a470-a4b050cdad3d
config-handling-e2e-cicd,CH,eric-oss-config-handling,ch-staging,4ec27ce3-80e7-48c0-a24b-406596158a55,d857802c-1636-4fe6-b819-837ffbfd9402,site-values/idun/ci/template/site-values-latest.yaml,site-values/idun/ci/override/override-site-values-appstaging-tls-enabled_SEF_minimalDMM.yaml,ch eas th dmm sef tieh,1800,OSS/com.ericsson.oss.tic/eric-oss-config-handling,true,false,96f936b7-f9f5-4da9-8d37-7940db4bd0fa,19b17ead-b6a6-4a0e-a7ff-56364f450ac0
ta-e2e-cicd,TA,eric-oss-task-automation-ae,ta-staging,8945ab7f-1dbd-46f4-9032-6a32b91c558a,12927df4-2adc-42e2-96d3-99c3100fd1cb,site-values/idun/ci/template/site-values-latest.yaml,site-values/idun/ci/override/override-site-values-appstaging-tls-enabled_SEF.yaml,ta,1800,OSS/com.ericsson.oss.ae/eric-oss-task-automation-ae,false,true,1099757c-4eb6-445b-8970-59427fd12146,210721f9-c85e-4db4-863e-71dcb6bed392
os-e2e-cicd,OS,eric-oss-oran-support,os-staging,2a506765-233f-48e1-8071-e8a181d0aed4,818957f1-15a9-4c84-aa6a-749cc65a6b08,site-values/idun/ci/template/site-values-latest.yaml,site-values/idun/ci/override/override-site-values-appstaging-tls-enabled_SEF.yaml,os sef,1800,OSS/com.ericsson.oss.tic/eric-oss-oran-support,false,true,265a8a2e-f542-4e3f-b2c8-b11c15861bd9,12f7abee-6ff0-46c2-89b2-1845242b5f73
pmh-e2e-cicd,PMH,eric-oss-pm-stats-calc-handling,pmh-staging,4abedfc8-5767-41ee-8709-8e487bb58eb6,5e9602af-068f-4c81-aa21-5025193a1d35,site-values/idun/ci/template/site-values-latest.yaml,site-values/idun/ci/override/override-site-values-appstaging-tls-enabled_SEF.yaml,pmh dmm sef,1800,OSS/com.ericsson.oss.air/eric-oss-pm-stats-calc-handling,false,false,a67d8abc-939b-459e-835b-1f425f2f3538,a5fecf66-5243-4d8e-b04e-0dc70ca239aa
ml-e2e-cicd,ML,eric-oss-ml-execution-env,ml-staging,89a16c8e-1b5b-4934-86ce-d99645feab15,73883257-2052-4368-8732-fe633d6526e2,site-values/idun/ci/template/site-values-latest.yaml,site-values/idun/ci/override/override-site-values-appstaging-tls-enabled_SEF_minimalDMM.yaml,ml appmgr dmm sef,1800,OSS/com.ericsson.oss.ami/ml-execution-env,false,false,1373040f-6bf1-47a4-81f4-2428b53ebfbe,857bb2e2-f206-41b7-b04f-915966560443
tieh-e2e-cicd,TIEH,eric-top-inv-exposure-handling,tieh-staging,1c39df0c-5bb0-455f-984e-169f1633f71e,de78bdc0-bd8a-41bb-8b3c-93af29bbdca3,site-values/idun/ci/template/site-values-latest.yaml,site-values/idun/ci/override/override-site-values-appstaging-tls-enabled_SEF_minimalDMM_TIEH.yaml,tieh dmm sef,1800,OSS/com.ericsson.oss.tic/topology-exposure-handling,true,false,d3984efc-08cb-46ab-8cff-cbc6a9154808,ec79f6aa-ecaa-477d-82ae-57b0497826f1
cs-e2e-cicd,CS,eric-oss-connected-systems-registry,cs-staging,bd1ee9cd-c380-4396-9ec6-b50c6e14ec32,543af72c-6341-4c98-b765-0d98e49374b8,site-values/idun/ci/template/site-values-latest.yaml,site-values/idun/ci/override/override-site-values-appstaging-tls-enabled_SEF_minimalDMM.yaml,cs dmm sef,1800,OSS/com.ericsson.oss.tic/eric-oss-connected-systems-registry,false,false,98380f18-ee90-4d2d-aa0f-e681ba30beaf,c9168f1b-6d1f-40b1-bfc6-9c1906dc9996
