APPLICATION_ABBREVIATION,SPINNAKER_APPLICATION_NAME,SPINNAKER_PIPELINE_NAME,HELMFILE_INT_CHART_NAME_PARAM,HELMFILE_INT_CHART_REPO_PARAM,RUN_TIME,CHART_NAME_PARAM,CHART_REPO_PARAM,SLAVE_PARAM,PATH_TO_HELMFILE_PARAM,STATE_VALUES_FILE_PARAM
ADC,adc-e2e-cicd,adc-cbos-age-tool-E2E-Flow,eric-eiae-helmfile,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,22,eric-oss-adc,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,GridEngine,eric-eiae-helmfile/helmfile.yaml,eric-eiae-helmfile/build-environment/tags_true.yaml
APP-MGR,app-mgr-e2e-cicd,app-mgr-cbos-age-tool-E2E-Flow,eric-eiae-helmfile,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,22,eric-oss-app-mgr,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,GridEngine,eric-eiae-helmfile/helmfile.yaml,eric-eiae-helmfile/build-environment/tags_true.yaml
CH,config-handling-e2e-cicd,ch-cbos-age-tool-E2E-Flow,eric-eiae-helmfile,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,22,eric-oss-config-handling,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,GridEngine,eric-eiae-helmfile/helmfile.yaml,eric-eiae-helmfile/build-environment/tags_true.yaml
DMM,dmm-e2e-cicd,dmm-cbos-age-tool-E2E-Flow,eric-eiae-helmfile,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,22,eric-oss-dmm,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,GridEngine,eric-eiae-helmfile/helmfile.yaml,eric-eiae-helmfile/build-environment/tags_true.yaml
EAS,eas-e2e-cicd,eas-cbos-age-tool-E2E-Flow,eric-eiae-helmfile,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,22,eric-oss-ericsson-adaptation,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,GridEngine,eric-eiae-helmfile/helmfile.yaml,eric-eiae-helmfile/build-environment/tags_true.yaml
TH,topology-handling-e2e-cicd,th-cbos-age-tool-E2E-Flow,eric-eiae-helmfile,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,22,eric-topology-handling,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,GridEngine,eric-eiae-helmfile/helmfile.yaml,eric-eiae-helmfile/build-environment/tags_true.yaml
TA,ta-e2e-cicd,ta-cbos-age-tool-E2E-Flow,eric-eiae-helmfile,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,22,eric-oss-task-automation-ae,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,GridEngine,eric-eiae-helmfile/helmfile.yaml,eric-eiae-helmfile/build-environment/tags_true.yaml
OS,os-e2e-cicd,os-cbos-age-tool-E2E-Flow,eric-eiae-helmfile,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,22,eric-oss-oran-support,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,GridEngine,eric-eiae-helmfile/helmfile.yaml,eric-eiae-helmfile/build-environment/tags_true.yaml
ML,ml-e2e-cicd,ml-cbos-age-tool-E2E-Flow,eric-eiae-helmfile,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,22,eric-oss-ml-execution-env,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,GridEngine,eric-eiae-helmfile/helmfile.yaml,eric-eiae-helmfile/build-environment/tags_true.yaml
TIEH,tieh-e2e-cicd,tieh-cbos-age-tool-E2E-Flow,eric-eiae-helmfile,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,22,eric-top-inv-exposure-handling,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,GridEngine,eric-eiae-helmfile/helmfile.yaml,eric-eiae-helmfile/build-environment/tags_true.yaml
EVNFM,evnfm-e2e-cicd,evnfm-cbos-age-tool-E2E-Flow,eric-eo-helmfile,https://arm.seli.gic.ericsson.se/artifactory/proj-eo-drop-helm,22,eric-eo-evnfm,https://arm.seli.gic.ericsson.se/artifactory/proj-eo-evnfm-helm,GridEngine,eric-eo-helmfile/helmfile.yaml,eric-eo-helmfile/build-environment/tags_true.yaml
BP,base-platform-common-base-e2e-cicd,common-base-cbos-age-tool-E2E-Flow,eric-eiae-helmfile,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,22,eric-oss-common-base,https://arm.seli.gic.ericsson.se/artifactory/proj-eric-oss-drop-helm-local,GridEngine,eric-eiae-helmfile/helmfile.yaml,eric-eiae-helmfile/build-environment/tags_true.yaml
