SPINNAKER_APPLICATION_NAME,SPINNAKER_PIPELINE_NAME,EXECUTION_TIME
idun-aas-e2e-cicd,eric-cloud-native-data-message-bus-kf-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-sec-access-mgmt-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-ctrl-bro-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-pm-server-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-data-document-database-pg-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-data-coordinator-zk-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-data-search-engine-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-data-search-engine-curator-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-log-shipper-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-log-transformer-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-data-object-storage-mn-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-ManualBaselineUpdate-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-fh-alarm-handler-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-fh-snmp-alarm-provider-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-eric-dst-collector-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-data-distributed-coordinator-ed-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-data-key-value-database-rd-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-lm-combined-server-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-si-application-sys-info-handler-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-sec-sip-tls-AAS-E2E-Flow,21:00:00
idun-aas-e2e-cicd,eric-cloud-native-odca-diagnostic-data-collector-AAS-E2E-Flow,21:00:00
